4,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
F-Zero: Maximum Velocity,Game Boy Advance,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04,86,19,8.5,22,Nd Cube,E
Sonic the Hedgehog,Xbox 360,2006,Platform,Sega,0.44,0.48,0,0.11,1.04,46,38,4.4,455,Sega,E10+
Sonic & Sega All-Stars Racing,Nintendo DS,2010,Racing,Sega,0.43,0.5,0,0.11,1.04,,,,,,
Need for Speed: Most Wanted,Xbox,2005,Racing,Electronic Arts,0.53,0.46,0,0.05,1.04,83,32,8.8,29,EA Canada,T
The SimPlayStationons Game,Xbox 360,2007,Action,Electronic Arts,0.54,0.39,0,0.11,1.03,71,52,7.7,71,"Electronic Arts, EA Redwood Shores",T
F1 2012,PlayStation 3,2012,Racing,Codemasters,0.12,0.63,0.05,0.23,1.03,81,23,7.5,54,Codemasters,E
Brink,Xbox 360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.03,68,85,5.8,404,Splash Damage,T
MX vs. ATV Unleashed,PlayStation 2,2005,Racing,THQ,0.86,0.03,0,0.14,1.03,79,30,8.4,17,Rainbow Studios,E
WipEout Pure,PlayStation Portable,2005,Racing,Sony Computer Entertainment,0.47,0.34,0,0.23,1.03,88,56,7.9,102,Studio Liverpool,E
UFC Undisputed 3,PlayStation 3,2012,Action,THQ,0.55,0.32,0.03,0.13,1.03,86,30,7.4,92,Yuke's,T
LEGO Pirates of the Caribbean: The Video Game,Xbox 360,2011,Action,Disney Interactive Studios,0.54,0.39,0,0.09,1.03,73,54,7,31,Traveller's Tales,E10+
Tom Clancy's Ghost Recon Advanced Warfighter 2,PlayStation 3,2007,Shooter,Ubisoft,0.34,0.48,0.02,0.19,1.03,84,29,8.1,41,"Red Storm Entertainment, Ubisoft Paris",T
Super Princess Peach,Nintendo DS,2005,Platform,Nintendo,0.7,0.05,0.21,0.07,1.03,75,48,7.6,33,TOSE,E
Guinness World RecorNintendo DS: The Videogame,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.46,0.47,0,0.11,1.03,67,12,7,8,TT Fusion,E10+
NCAA March Madness 2004,PlayStation 2,2003,Sports,Electronic Arts,0.5,0.39,0,0.13,1.03,82,16,8.8,12,NuFX,E
Donkey Kong Land III,GB,N/A,Platform,Nintendo,0.68,0.31,0,0.04,1.03,,,,,,
Bomberman,NES,1985,Puzzle,HuNintendo DSon Soft,0.18,0,0.85,0,1.03,,,,,,
The Legend of Zelda: Twilight Princess HD,Wii U,2016,Action,Nintendo,0.56,0.3,0.08,0.09,1.03,86,74,8.4,329,"Tantalus Interactive, Tantatus, Nintendo",T
LEGO Indiana Jones: The Original Adventures,PlayStation 3,2008,Action,Activision,0.44,0.42,0,0.17,1.03,77,36,7.7,30,Traveller's Tales,E10+
Tomb Raider,PC,1996,Action,Eidos Interactive,0.96,0.07,0,0,1.03,86,18,8.5,3552,"Crystal Dynamics, Nixxes Software",M
Street Fighter Alpha 3,PlayStation,1998,Fighting,Virgin Interactive,0.38,0.12,0.51,0.02,1.03,93,12,8.5,46,Capcom,T
MySims Agents,Wii,2009,Adventure,Electronic Arts,0.61,0.32,0,0.1,1.03,78,28,8.6,28,Electronic Arts,E
Junior Brain Trainer,Nintendo DS,2008,Misc,GSP,0.23,0.71,0,0.09,1.03,,,tbd,,Avanquest Software,E
MotorStorm: Arctic Edge,PlayStation Portable,2009,Racing,Sony Computer Entertainment,0.16,0.57,0,0.29,1.02,79,58,8.8,39,Bigbig Studios,T
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.01,0.11,1.02,65,13,6.1,26,EA Canada,E
ZhuZhu Pets,Nintendo DS,2010,Simulation,Activision,0.67,0.26,0,0.09,1.02,,,tbd,,Black Lantern Studios,E
Tiger WooNintendo DS PGA Tour 08,Wii,2007,Sports,Electronic Arts,0.93,0.01,0,0.08,1.02,72,24,7,22,EA Salt Lake,E
Dragon Ball Z: Budokai Tenkaichi 3,Wii,2007,Fighting,Atari,0.32,0.36,0.26,0.09,1.02,72,27,8.4,61,"Spike, Namco Bandai Games",T
Shrek 2,GameCube,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02,70,25,6.4,14,"Luxoflux, Inc.",E
NBA 2K17,Xbox One,2016,Sports,Take-Two Interactive,0.86,0.06,0,0.11,1.02,90,17,6.2,91,Visual Concepts,E
Tom Clancy's Ghost Recon Advanced Warfighter 2,Xbox 360,2007,Shooter,Ubisoft,0.87,0.05,0.02,0.08,1.02,86,58,8.1,89,"Red Storm Entertainment, Ubisoft Paris",T
Sonic Unleashed,PlayStation 3,2008,Platform,Sega,0.56,0.32,0.01,0.14,1.02,54,24,7.9,130,Sonic Team,E10+
Final Fight 2,SNES,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02,,,,,,
The Lost World: Jurassic Park,PlayStation,1997,Action,Electronic Arts,0.57,0.39,0,0.07,1.02,,,,,,
Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.64,0.28,0,0.1,1.02,61,11,6,5,Eurocom Entertainment Software,E10+
Dance on Broadway,Wii,2010,Misc,Ubisoft,0.25,0.65,0,0.12,1.02,48,6,3.3,4,Longtail Studios,E10+
LEGO Indiana Jones 2: The Adventure Continues,Xbox 360,2009,Action,Activision,0.62,0.31,0,0.09,1.02,71,41,7.4,25,Traveller's Tales,E10+
Petz: Catz 2,Nintendo DS,2007,Simulation,Ubisoft,0.51,0.4,0,0.11,1.02,,,9,4,Powerhead Games,E
Bulletstorm,Xbox 360,2011,Shooter,Electronic Arts,0.61,0.32,0.01,0.08,1.02,84,83,7.6,439,"Epic Games, People Can Fly",M
Skylanders SWAP Force,PlayStation 3,2013,Platform,Activision,0.43,0.42,0,0.17,1.02,83,31,5.3,33,Vicarious Visions,E10+
Madden NFL 07,Xbox,2006,Sports,Electronic Arts,0.97,0.03,0,0.03,1.02,83,27,8.7,6,EA Tiburon,E
Sonic Generations,Nintendo 3DS,2011,Platform,Sega,0.44,0.47,0.01,0.09,1.02,66,29,6.9,108,"Sega, DimPlayStation Corporation",E
Rock Band 2,Wii,2008,Misc,MTV Games,0.93,0.01,0,0.08,1.02,92,10,7.7,45,Harmonix Music Systems,T
Harry Potter and the Prisoner of Azkaban,PlayStation 2,2004,Action,Electronic Arts,0.5,0.39,0,0.13,1.02,70,29,8.7,29,EA Games,E
Pokemon Conquest,Nintendo DS,2012,Role-Playing,Nintendo,0.56,0.05,0.37,0.04,1.02,80,40,8.2,89,Koei,E
Wall-E,Wii,2008,Platform,THQ,0.51,0.4,0,0.11,1.01,51,18,3.6,8,Heavy Iron Studios,E
Pong: The Next Level,PlayStation,1998,Puzzle,Hasbro Interactive,0.56,0.38,0,0.07,1.01,,,,,,
Naruto: Clash of Ninja Revolution,Wii,2007,Fighting,Tomy Corporation,0.44,0.46,0,0.11,1.01,74,23,8,27,8ing/Raizing,T
Disney Fairies: Tinker Bell and the Lost Treasure,Nintendo DS,2009,Adventure,Disney Interactive Studios,0.56,0.34,0.02,0.09,1.01,,,tbd,,Hyde,E
Ace Combat 6: Fires of Liberation,Xbox 360,2007,Simulation,Atari,0.69,0.04,0.22,0.06,1.01,80,54,7.9,101,Project Aces,T
The SimPlayStationons Game,Wii,2007,Action,Electronic Arts,0.45,0.46,0,0.11,1.01,64,19,6.1,38,"Electronic Arts, Rebellion",T
NBA Jam Tournament Edition,SNES,1995,Sports,Acclaim Entertainment,0.87,0.12,0,0.02,1.01,,,,,,
Championship Manager 3,PC,2003,Sports,Eidos Interactive,0,0.93,0,0.08,1.01,,,,,,
Need for Speed: Most Wanted,PlayStation Vita,2012,Racing,Electronic Arts,0.33,0.45,0.01,0.22,1.01,,,,,,
Ninja Gaiden II,Xbox 360,2008,Action,Tecmo Koei,0.65,0.22,0.05,0.1,1.01,81,74,8,302,"Team Ninja, Tecmo",M
Assassin's Creed: Rogue,Xbox 360,2014,Action,Ubisoft,0.58,0.34,0,0.09,1.01,72,32,7.3,318,Ubisoft,M
Rayman LegenNintendo DS,PlayStation 4,2014,Platform,Ubisoft,0.22,0.64,0,0.16,1.01,90,16,8.5,525,Ubisoft Montpellier,E10+
Oshare Majo Love and Berry: Nintendo DS Collection,Nintendo DS,2006,Misc,Sega,0,0,1.01,0,1.01,,,,,,
Prince of Persia,Xbox 360,2008,Action,Ubisoft,0.54,0.34,0.02,0.1,1.01,81,73,7,189,Ubisoft Montreal,T
Monster Rancher,PlayStation,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01,86,5,8.3,10,Tecmo,
ZombiU,Wii U,2012,Action,Ubisoft,0.52,0.36,0.05,0.08,1.01,77,70,7.7,758,Ubisoft Montpellier,M
Pokken Tournament,Wii U,2016,Fighting,Namco Bandai Games,0.5,0.26,0.17,0.08,1.01,76,74,8,273,Bandai Namco Games,E10+
Ford Racing 2,PlayStation 2,2003,Racing,Empire Interactive,0.49,0.38,0,0.13,1,51,5,8,8,Razorworks Studios,E
Breath of Fire III,PlayStation,1997,Role-Playing,Capcom,0.29,0.19,0.46,0.07,1,,,,,,
NERF N-Strike Elite,Wii,2009,Shooter,Electronic Arts,0.93,0,0,0.07,1,67,12,4.5,6,EA Salt Lake,E10+
God of War: Ghost of Sparta,PlayStation Portable,2010,Action,Sony Computer Entertainment,0.41,0.35,0.03,0.21,1,86,73,8.4,255,Ready at Dawn,M
Dead or Alive 2,PlayStation 2,2000,Fighting,Tecmo Koei,0.3,0.24,0.38,0.08,1,,,,,,
1942,NES,1985,Shooter,Capcom,0.65,0.14,0.21,0,1,,,,,,
Game & Watch Gallery,GB,1997,Misc,Nintendo,0.63,0.25,0.09,0.03,1,,,,,,
Excitebike 64,N64,2000,Racing,Nintendo,0.65,0.15,0.19,0.01,1,,,,,,
NES Open Tournament Golf,NES,1991,Sports,Nintendo,0.41,0.1,0.47,0.02,1,,,,,,
Jissen Pachi-Slot Hisshouhou: Hokuto no Ken,PlayStation 2,2004,Misc,Sammy Corporation,0,0,1,0,1,,,,,,
SoulCalibur II,Xbox,2003,Fighting,Namco Bandai Games,0.78,0.18,0.03,0,1,92,39,8.9,54,Namco,T
PES 2009: Pro Evolution Soccer,Xbox 360,2008,Sports,Konami Digital Entertainment,0.13,0.76,0.03,0.09,1,,,,,,
Winning Eleven: Pro Evolution Soccer 2007 (All Region sales),Xbox 360,2006,Sports,Konami Digital Entertainment,0.08,0.9,0.02,0,1,,,,,,
Road & Track Presents: The Need for Speed,PlayStation,1995,Racing,Electronic Arts,0.56,0.38,0,0.07,1,,,,,,
NFL GameDay 2001,PlayStation,2000,Sports,Sony Computer Entertainment,0.56,0.38,0,0.07,1,73,10,tbd,,989 Sports,E
NBA Live 97,PlayStation,1996,Sports,Electronic Arts,0.55,0.38,0,0.07,1,,,,,,
Dynasty Warriors 3: Xtreme LegenNintendo DS,PlayStation 2,2002,Action,Tecmo Koei,0.13,0.1,0.74,0.03,1,72,16,9.3,54,Omega Force,T
Rayman Origins,PlayStation 3,2011,Platform,Ubisoft,0.33,0.49,0.01,0.17,1,87,43,8.4,238,UBlart Montpellier,E10+
Jampack Winter 2000,PlayStation,2000,Misc,Sony Computer Entertainment,0.55,0.38,0,0.07,1,,,,,,
NFL Fever 2002,Xbox,2000,Sports,Microsoft Game Studios,0.74,0.21,0,0.04,0.99,79,24,8.5,10,Microsoft Game Studios,E
Just Dance 2014,Xbox 360,2013,Misc,Ubisoft,0.72,0.17,0,0.1,0.99,79,16,7.8,33,Ubisoft,E10+
NCAA Football 12,Xbox 360,2011,Sports,Electronic Arts,0.94,0,0,0.06,0.99,82,25,6.6,49,EA Sports,E
The SimPlayStationons: Hit & Run,GameCube,2003,Racing,Vivendi Games,0.77,0.2,0,0.03,0.99,,,,,,
UFC Undisputed 3,Xbox 360,2012,Action,THQ,0.72,0.2,0,0.08,0.99,85,60,7.6,88,Yuke's,T
Kirby: Mass Attack,Nintendo DS,2011,Platform,Nintendo,0.48,0.06,0.41,0.05,0.99,83,46,8.6,55,HAL Labs,E
Haze,PlayStation 3,2008,Shooter,Ubisoft,0.49,0.33,0.02,0.15,0.99,55,65,6.5,294,Free Radical Design,M
Oddworld: Abe's Exoddus,PlayStation,1998,Platform,GT Interactive,0.55,0.38,0,0.06,0.99,88,13,9.1,69,Oddworld Inhabitants,T
The Bouncer,PlayStation 2,2000,Action,Sony Computer Entertainment,0.3,0.23,0.38,0.08,0.99,66,20,8,35,DreamFactory,T
DiRT 2,PlayStation 3,2009,Racing,Codemasters,0.27,0.52,0,0.19,0.99,87,63,8.2,94,Codemasters,T
Guitar Hero: Aerosmith,PlayStation 3,2008,Misc,Activision,0.73,0.15,0,0.11,0.99,70,39,5,26,Neversoft Entertainment,T
Shadow The Hedgehog,GameCube,2005,Platform,Sega,0.76,0.2,0,0.03,0.99,51,22,6.6,120,Sonic Team,E10+
EyePet,PlayStation 3,2009,Simulation,Sony Computer Entertainment,0.35,0.52,0.04,0.08,0.99,70,35,8.2,20,SCEE London Studio,E
Apollo Justice: Ace Attorney,Nintendo DS,2007,Adventure,Capcom,0.28,0.04,0.64,0.03,0.99,78,48,8.1,84,Capcom,T
Ace Combat X: Skies of Deception,PlayStation Portable,2006,Simulation,Namco Bandai Games,0.37,0.3,0.12,0.19,0.99,75,26,8.3,30,Project Aces,T
Dark Souls,Xbox 360,2011,Role-Playing,Namco Bandai Games,0.64,0.27,0,0.09,0.99,89,66,8.4,1106,From Software,M
Cars: Race-O-Rama,Wii,2009,Racing,THQ,0.61,0.29,0,0.09,0.99,58,7,tbd,,Incinerator Games,E
Puzzler Collection,Nintendo DS,2008,Puzzle,Ubisoft,0.16,0.78,0,0.04,0.99,71,5,tbd,,Route 1 Games,E
Midnight Club: LA Remix,PlayStation Portable,2008,Racing,Take-Two Interactive,0.52,0.27,0,0.19,0.98,79,26,8.7,43,Rockstar London,T
Pro Evolution Soccer 2008,PlayStation Portable,2008,Sports,Konami Digital Entertainment,0.02,0.53,0.19,0.25,0.98,80,17,6.8,11,Konami,E
Littlest Pet Shop: Winter,Nintendo DS,2008,Simulation,Electronic Arts,0.58,0.31,0,0.1,0.98,,,tbd,,Electronic Arts,E
Final Fantasy Type-0,PlayStation 4,2015,Role-Playing,Square Enix,0.37,0.32,0.15,0.14,0.98,,,,,,
FIFA Soccer 10,Wii,2009,Sports,Electronic Arts,0.23,0.64,0,0.11,0.98,75,21,6.2,17,EA Sports,E
Tales of Graces f,PlayStation 3,2010,Role-Playing,Namco Bandai Games,0.28,0.18,0.45,0.07,0.98,77,55,8.2,336,Namco Bandai Games,T
Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0,0.08,0.98,91,48,7.9,3450,Bethesda Game Studios,M
Mario Party Advance,Game Boy Advance,2005,Misc,Nintendo,0.5,0.19,0.28,0.02,0.98,54,27,5.4,34,HuNintendo DSon,E
Tetris 2,NES,1993,Puzzle,Nintendo,0.62,0.13,0.21,0.02,0.98,,,,,,
Zoo Tycoon Nintendo DS,Nintendo DS,2005,Strategy,THQ,0.86,0.03,0.01,0.08,0.98,44,19,6.6,25,Altron,E
NASCAR 99,N64,1998,Racing,Electronic Arts,0.94,0.04,0,0.01,0.98,,,,,,
WWE SmackDown vs Raw 2008,Wii,2007,Fighting,THQ,0.38,0.5,0,0.11,0.98,59,13,5.9,18,Yuke's,T
Air-Sea Battle,2600,N/A,Shooter,Atari,0.91,0.06,0,0.01,0.98,,,,,,
Dead Space 3,Xbox 360,2013,Action,Electronic Arts,0.64,0.26,0,0.08,0.98,78,68,6.4,694,Visceral Games,M
Suikoden III,PlayStation 2,N/A,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98,86,23,7.7,113,KCET,T
Rocksmith 2014,PlayStation 3,2013,Misc,Ubisoft,0.53,0.24,0.05,0.16,0.98,,,,,,
Tom Clancy's Splinter Cell: Blacklist,Xbox 360,2013,Action,Ubisoft,0.57,0.32,0.01,0.08,0.98,82,58,7.5,383,Ubisoft Toronto,M
Madden NFL 10,PlayStation 2,2009,Sports,Electronic Arts,0.88,0,0,0.1,0.98,,,7.2,6,EA Tiburon,E
NBA 2K10,Xbox 360,2009,Sports,Take-Two Interactive,0.88,0.02,0,0.08,0.97,82,46,7.6,34,Visual Concepts,E
NCAA Football 06,Xbox,2005,Sports,Electronic Arts,0.73,0.21,0,0.03,0.97,87,38,8.3,27,EA Sports,E
Madden NFL 16,Xbox 360,2015,Sports,Electronic Arts,0.85,0.02,0,0.1,0.97,,,5.1,12,EA Sports,E
Grand Theft Auto: San Andreas,PC,2005,Action,Take-Two Interactive,0,0.93,0,0.04,0.97,93,47,8.9,1841,Rockstar North,M
Madden NFL 08,PlayStation 3,2007,Sports,Electronic Arts,0.89,0,0,0.08,0.97,81,31,5.3,33,EA Tiburon,E
Fire Emblem,Game Boy Advance,2003,Strategy,Nintendo,0.49,0.18,0.29,0.01,0.97,88,31,9.2,144,Intelligent Systems,E
Brutal Legend,Xbox 360,2009,Action,Electronic Arts,0.62,0.26,0,0.09,0.97,82,88,8,268,Double Fine Productions,M
Disney Infinity,PlayStation 3,2013,Action,Disney Interactive Studios,0.49,0.32,0,0.16,0.97,75,21,5.9,47,Avalanche Software,E10+
Tamagotchi Connection: Corner Shop 2,Nintendo DS,2006,Simulation,Namco Bandai Games,0.09,0.01,0.86,0.01,0.97,66,9,tbd,,NanaOn-Sha,E
NHL 2004,PlayStation 2,2003,Sports,Electronic Arts,0.47,0.37,0,0.12,0.97,85,19,7.6,53,EA Sports,E
Grand Theft Auto: Vice City Stories,PlayStation 2,2007,Action,Take-Two Interactive,0.78,0.03,0.03,0.13,0.97,75,37,7.9,67,Rockstar LeeNintendo DS,M
Disney Tangled,Nintendo DS,2010,Action,Disney Interactive Studios,0.53,0.35,0,0.09,0.97,,,,,,
Wheel of Fortune,Wii,2010,Misc,THQ,0.86,0.04,0,0.06,0.97,,,7.6,5,THQ,E
FIFA Soccer 2005,Xbox,2004,Sports,Electronic Arts,0.33,0.6,0,0.04,0.97,81,34,8.7,23,EA Canada,E
Mass Effect 3,PC,2012,Role-Playing,Electronic Arts,0.4,0.44,0,0.12,0.97,89,23,5.5,5926,BioWare,M
Cars,Nintendo DS,2006,Racing,THQ,0.85,0.04,0,0.07,0.97,54,17,2.1,11,Helixe,E
Band Hero,Wii,2009,Misc,Activision,0.59,0.29,0,0.09,0.97,79,20,6.6,15,Vicarious Visions,E10+
Romancing SaGa,SNES,1992,Role-Playing,SquareSoft,0,0,0.97,0,0.97,,,,,,
Skylanders: Spyro's Adventure,Xbox 360,2011,Action,Activision,0.53,0.34,0,0.1,0.97,78,35,5.2,53,Toys for Bob,E10+
Donkey Kong Junior,2600,1981,Platform,Atari,0.9,0.05,0,0.01,0.97,,,,,,
LEGO Harry Potter: Years 5-7,Xbox 360,N/A,Action,Warner Bros. Interactive Entertainment,0.51,0.37,0,0.09,0.97,77,35,7.9,39,Traveller's Tales,E10+
LEGO Star Wars II: The Original Trilogy,GameCube,2006,Action,LucasArts,0.75,0.19,0,0.03,0.97,84,25,9.1,16,Traveller's Tales,E10+
Medal of Honor: Underground,PlayStation,2000,Shooter,Electronic Arts,0.54,0.37,0,0.06,0.97,86,16,9,44,Dreamworks Interactive,T
Dark Cloud 2,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,87,41,9.1,174,Level 5,T
Far Cry 3,PC,2012,Shooter,Ubisoft,0.22,0.62,0,0.12,0.96,88,43,8.2,3183,Ubisoft Montreal,M
Evolve,PlayStation 4,2015,Shooter,Take-Two Interactive,0.36,0.41,0.05,0.15,0.96,76,46,4.3,894,Turtle Rock Studios,M
Dead Space 3,PlayStation 3,2013,Action,Electronic Arts,0.44,0.36,0,0.16,0.96,76,37,6.4,522,Visceral Games,M
Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,,,,,Square Enix,
Jampack Summer '99,PlayStation,1999,Misc,Sony Computer Entertainment,0.54,0.36,0,0.06,0.96,,,,,,
Dance Dance Revolution 2nd ReMIX,PlayStation,1999,Simulation,Konami Digital Entertainment,0,0,0.9,0.06,0.96,,,,,,
Mortal Kombat Trilogy,N64,1996,Fighting,GT Interactive,0.72,0.22,0,0.02,0.96,,,,,,
Star Soldier,NES,1986,Shooter,HuNintendo DSon Soft,0.32,0.06,0.57,0.01,0.96,,,,,,
NHL 2001,PlayStation 2,2000,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96,85,22,8.1,9,EA Sports,E
Farming Simulator 2013,PC,2012,Simulation,Focus Home Interactive,0,0.81,0,0.15,0.96,65,12,7.5,111,Giants Software,E
Guitar Hero: Warriors of Rock,Wii,2010,Misc,Activision,0.47,0.4,0,0.09,0.96,77,26,7.5,17,"Vicarious Visions, Neversoft Entertainment",T
de Blob,Wii,2008,Platform,THQ,0.49,0.37,0,0.1,0.96,82,48,8.6,73,Blue Tongue Entertainment,E
Dragon Quest Monsters: Terry's Wonderland 3D,Nintendo 3DS,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,,,,,,
Shinobi,PlayStation 2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,71,33,7.9,43,Overworks,M
Mortal Kombat: Deadly Alliance,Xbox,2002,Fighting,Midway Games,0.77,0.15,0,0.04,0.96,81,27,8.4,24,Midway,M
The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.14,0.96,88,76,8.5,4378,CD Projekt Red Studio,M
Sniper Elite V2,PlayStation 3,2012,Shooter,505 Games,0.38,0.38,0.06,0.14,0.96,70,21,6.9,92,Rebellion,M
ESPN NBA 2K5,Xbox,2004,Sports,Global Star,0.88,0.04,0,0.04,0.95,85,28,8.7,22,Visual Concepts,E
Gangs of London,PlayStation Portable,2006,Adventure,Sony Computer Entertainment,0.3,0.43,0,0.22,0.95,52,47,6.7,18,SCEE London Studio,M
Mario Tennis Open,Nintendo 3DS,2012,Sports,Nintendo,0.26,0.29,0.34,0.05,0.95,69,58,6.9,110,Camelot Software Planning,E
PilotWings Resort,Nintendo 3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.95,71,64,7.4,88,Monster Games Inc.,E
Wheel of Fortune,PlayStation 2,N/A,Misc,Unknown,0.47,0.36,0,0.12,0.95,,,tbd,,Atari,E
World Championship Poker,PlayStation 2,2004,Misc,Play It,0.8,0.03,0,0.13,0.95,60,8,7.7,11,Coresoft,E
My Weight Loss Coach,Nintendo DS,2008,Sports,Ubisoft,0.3,0.54,0,0.11,0.95,63,4,7.6,7,Ubisoft Montreal,E
Tom Clancy's Splinter Cell: Chaos Theory,PlayStation 2,2005,Action,Ubisoft,0.36,0.45,0,0.14,0.95,87,29,8.6,53,Ubisoft Montreal,M
Sonic Unleashed,Xbox 360,2008,Platform,Sega,0.54,0.32,0,0.09,0.95,60,50,7.8,238,Sonic Team,E10+
SpongeBob SquarePants: Battle for Bikini Bottom,GameCube,2003,Platform,THQ,0.74,0.19,0,0.03,0.95,71,10,8.6,34,Heavy Iron Studios,E
Disney Infinity 2.0: Marvel Super Heroes,PlayStation 3,2014,Action,Disney Interactive Studios,0.46,0.33,0,0.16,0.95,,,,,,
PlayStation All-Stars Battle Royale,PlayStation 3,2012,Action,Sony Computer Entertainment,0.5,0.27,0.04,0.15,0.95,74,69,7.3,540,SuperBot Entertainment,T
Scooby-Doo! First Frights,Wii,2009,Action,Warner Bros. Interactive Entertainment,0.84,0.04,0,0.07,0.95,,,,,,
Epic Mickey 2: The Power of Two,Wii,2012,Action,Disney Interactive Studios,0.67,0.21,0,0.07,0.95,,,,,,
Mega Man Star Force Dragon / Leo / Pegasus,Nintendo DS,2006,Action,Capcom,0.39,0,0.53,0.03,0.95,,,,,,
Pro Evolution Soccer 2014,PlayStation 3,2013,Action,Konami Digital Entertainment,0.03,0.41,0.51,0,0.95,78,39,4.1,303,Konami,E
Yakuza 4,PlayStation 3,N/A,Action,Sega,0.15,0.13,0.63,0.05,0.95,78,59,8,177,Ryu ga Gotoku Studios,M
Wild ARMs,PlayStation,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,,,,,,
Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,2012,Shooter,Ubisoft,0.41,0.32,0.09,0.12,0.95,79,18,6.9,156,Ubisoft Paris,M
Kessen,PlayStation 2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,75,20,8.4,12,Koei,T
Driver: San Francisco,PlayStation 3,2011,Racing,Ubisoft,0.24,0.52,0.01,0.18,0.95,79,53,7.7,114,Ubisoft Reflections,T
Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Game Boy Advance,2003,Misc,Konami Digital Entertainment,0.68,0.25,0,0.02,0.95,,,,,,
NCAA Football 2000,PlayStation,1999,Sports,Electronic Arts,0.53,0.36,0,0.06,0.95,,,,,,
Ben 10: Alien Force,Nintendo DS,2008,Action,Koch Media,0.65,0.22,0,0.09,0.95,,,2.8,4,Monkey Bar Games,E
Army of Two: The 40th Day,Xbox 360,2010,Shooter,Electronic Arts,0.62,0.24,0,0.09,0.95,73,79,7.3,126,EA Montreal,M
Sonic & Sega All-Stars Racing,PlayStation 3,2010,Racing,Sega,0.36,0.43,0,0.16,0.95,,,,,,
Just Dance 2016,Wii,2015,Misc,Ubisoft,0.41,0.46,0,0.08,0.95,,,tbd,,Ubisoft,E10+
Skylanders: Trap Team,Wii,2014,Action,Activision,0.41,0.46,0,0.08,0.95,,,tbd,,Toys for Bob,E10+
Lost Planet 2,PlayStation 3,2010,Shooter,Capcom,0.29,0.33,0.2,0.13,0.95,68,56,6.9,62,Capcom,T
LEGO Pirates of the Caribbean: The Video Game,PlayStation 3,2011,Action,Disney Interactive Studios,0.36,0.43,0,0.16,0.95,73,42,7.1,34,Traveller's Tales,E10+
NBA 2K16,Xbox 360,2015,Sports,Take-Two Interactive,0.79,0.05,0,0.1,0.94,,,3.2,24,Visual Concepts,E
Killzone,PlayStation 2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.13,0.94,70,67,7.4,254,Guerrilla,M
Colin McRae Rally 04,PlayStation 2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94,,,,,,
Club Penguin: Game Day!,Wii,2010,Sports,Disney Interactive Studios,0.54,0.32,0,0.08,0.94,,,,,,
The SpongeBob SquarePants Movie,GameCube,2004,Platform,THQ,0.73,0.19,0,0.03,0.94,73,9,7.8,13,Heavy Iron Studios,E
Star Fox 64 3D,Nintendo 3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.06,0.94,81,65,8.2,231,Nintendo,E10+
Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PlayStation,1996,Misc,GT Interactive,0.52,0.36,0,0.06,0.94,,,,,,
Castlevania: Lament of Innocence,PlayStation 2,2003,Action,Konami Digital Entertainment,0.46,0.36,0,0.12,0.94,79,45,8.4,74,KCET,M
Rocksmith 2014,Xbox 360,2013,Misc,Ubisoft,0.69,0.16,0,0.09,0.94,,,,,,
Tom Clancy's Splinter Cell: Blacklist,PlayStation 3,2013,Action,Ubisoft,0.34,0.39,0.06,0.15,0.94,84,27,7.7,314,Ubisoft Toronto,M
Destroy All Humans!,PlayStation 2,2005,Shooter,THQ,0.78,0.03,0,0.13,0.94,,,,,,
Skylanders: Spyro's Adventure,PlayStation 3,2011,Action,Activision,0.39,0.39,0,0.16,0.94,77,18,4.8,42,Toys for Bob,E10+
