Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
2148,Final Fantasy X / X-2 HD Remaster,PlayStation Vita,2013,Role-Playing,Square Enix,0.21,0.31,0.28,0.16,0.97,77,26,7.5,17
2149,Medal of Honor: Underground,PlayStation,2000,Shooter,Electronic Arts,0.54,0.37,0,0.06,0.97,82,48,8.6,73
2150,The Sims 2,Nintendo DS,2005,Simulation,Electronic Arts,0.82,0.07,0,0.07,0.96,,,,
2151,Dark Cloud 2,PlayStation 2,2002,Role-Playing,Sony Computer Entertainment,0.38,0.25,0.26,0.07,0.96,71,33,7.9,43
2152,Jampack Summer '99,PlayStation,1999,Misc,Sony Computer Entertainment,0.54,0.36,0,0.06,0.96,81,27,8.4,24
2153,PlayStation All-Stars Battle Royale,PlayStation 3,2012,Action,Sony Computer Entertainment,0.5,0.28,0.04,0.14,0.96,88,76,8.5,4378
2154,Dance Dance Revolution 2nd ReMIX,PlayStation,1999,Simulation,Konami Digital Entertainment,0,0,0.9,0.06,0.96,70,21,6.9,92
2155,Monster High: Ghoul Spirit,Nintendo DS,2011,Misc,THQ,0.72,0.17,0,0.07,0.96,85,28,8.7,22
2156,Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,52,47,6.7,18
2157,LEGO Pirates of the Caribbean: The Video Game,Nintendo DS,2011,Action,Disney Interactive Studios,0.37,0.49,0,0.1,0.96,69,58,6.9,110
2158,Gangs of London,PlayStation Portable,2006,Adventure,Sony Computer Entertainment,0.3,0.44,0,0.22,0.96,71,64,7.4,88
2159,Mortal Kombat Trilogy,Nintendo 64,1996,Fighting,GT Interactive,0.72,0.22,0,0.02,0.96,,,tbd,
2160,Star Soldier,NES,1986,Shooter,Hudson Soft,0.32,0.06,0.57,0.01,0.96,60,8,7.7,11
2161,Sonic Unleashed,Xbox 360,2008,Platform,Sega,0.54,0.33,0,0.09,0.96,63,4,7.6,7
2162,Lost Planet 2,PlayStation 3,2010,Shooter,Capcom,0.29,0.34,0.2,0.13,0.96,87,29,8.6,53
2163,NHL 2001,PlayStation 2,2000,Sports,Electronic Arts,0.47,0.37,0,0.12,0.96,60,50,7.8,238
2164,Dragon Quest Monsters: Terry's Wonderland 3D,Nintendo 3DS,2012,Role-Playing,Square Enix,0,0,0.96,0,0.96,71,10,8.6,34
2165,My Weight Loss Coach,Nintendo DS,2008,Sports,Ubisoft,0.3,0.54,0,0.11,0.96,,,,
2166,Tom Clancy's Ghost Recon: Future Soldier,PlayStation 3,2012,Shooter,Ubisoft,0.41,0.33,0.09,0.12,0.96,74,69,7.3,540
2167,Mega Man Star Force Dragon / Leo / Pegasus,Nintendo DS,2006,Action,Capcom,0.39,0,0.53,0.03,0.96,,,,
2168,Shinobi,PlayStation 2,2002,Platform,Sony Computer Entertainment,0.36,0.28,0.22,0.09,0.96,,,,
2169,Mortal Kombat: Deadly Alliance,Xbox,2002,Fighting,Midway Games,0.77,0.15,0,0.04,0.96,,,,
2170,The Witcher 2: Assassins of Kings,PC,2011,Action,Namco Bandai Games,0.25,0.56,0,0.15,0.96,78,39,4.1,303
2171,PilotWings Resort,Nintendo 3DS,2011,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96,78,59,8,177
2172,Naruto Shippuden: Ultimate Ninja Storm 3,PlayStation 3,2013,Fighting,Namco Bandai Games,0.32,0.33,0.15,0.15,0.96,,,,
2173,LEGO Jurassic World,Xbox 360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.4,0,0.08,0.95,79,18,6.9,156
2174,ESPN NBA 2K5,Xbox,2004,Sports,Global Star,0.88,0.04,0,0.04,0.95,75,20,8.4,12
2175,Wheel of Fortune,PlayStation 2,N/A,Misc,Unknown,0.47,0.36,0,0.12,0.95,79,53,7.7,114
2176,World Championship Poker,PlayStation 2,2004,Misc,Play It,0.8,0.03,0,0.13,0.95,,,,
2177,Tom Clancy's Splinter Cell: Chaos Theory,PlayStation 2,2005,Action,Ubisoft,0.36,0.45,0,0.14,0.95,,,,
2178,SpongeBob SquarePants: Battle for Bikini Bottom,Game Cube,2003,Platform,THQ,0.74,0.19,0,0.03,0.95,,,2.8,4
2179,South Park: The Stick of Truth,Xbox 360,2014,Role-Playing,Ubisoft,0.57,0.3,0,0.08,0.95,73,79,7.3,126
2180,Ben 10: Alien Force,Nintendo DS,2008,Action,Koch Media,0.65,0.22,0,0.09,0.95,,,,
2181,SingStar Abba,PlayStation 3,2008,Misc,Sony Computer Entertainment,0.27,0.51,0,0.17,0.95,,,tbd,
2182,Cars 2,Wii,2011,Racing,Disney Interactive Studios,0.46,0.39,0,0.1,0.95,,,tbd,
2183,Wild ARMs,PlayStation,1996,Role-Playing,Sony Computer Entertainment,0.26,0.17,0.46,0.06,0.95,68,56,6.9,62
2184,Kessen,PlayStation 2,2000,Strategy,Electronic Arts,0.27,0.21,0.41,0.07,0.95,73,42,7.1,34
2185,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,Game Boy Advance,2003,Misc,Konami Digital Entertainment,0.68,0.25,0,0.02,0.95,,,3.2,24
2186,NCAA Football 2000,PlayStation,1999,Sports,Electronic Arts,0.53,0.36,0,0.06,0.95,70,67,7.4,254
2187,Brutal Legend,PlayStation 3,2009,Action,Electronic Arts,0.54,0.28,0,0.13,0.95,,,,
2188,Skylanders: Spyro's Adventure,PlayStation 3,2011,Action,Activision,0.39,0.4,0,0.16,0.95,,,,
2189,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.41,0.43,0,0.1,0.95,73,9,7.8,13
2190,Evolve,PlayStation 4,2015,Shooter,Take-Two Interactive,0.35,0.41,0.05,0.15,0.95,81,65,8.2,231
2191,WWE SmackDown vs. Raw 2009,PlayStation 3,2008,Fighting,THQ,0.51,0.31,0.01,0.13,0.95,,,,
2192,Army of Two: The 40th Day,Xbox 360,2010,Shooter,Electronic Arts,0.62,0.24,0,0.08,0.95,79,45,8.4,74
2193,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.7,0.17,0,0.08,0.95,,,,
2194,Lego Batman 3: Beyond Gotham,Xbox 360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.38,0,0.08,0.95,84,27,7.7,314
2195,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.24,0.43,0.18,0.09,0.95,,,,
2196,Killzone,PlayStation 2,2004,Shooter,Sony Computer Entertainment,0.79,0.03,0,0.13,0.94,77,18,4.8,42
2197,The Tomb Raider Trilogy,PlayStation 3,2011,Action,Square Enix,0.27,0.5,0,0.17,0.94,86,35,,
2198,Colin McRae Rally 04,PlayStation 2,2003,Racing,Codemasters,0.01,0.71,0.01,0.21,0.94,,,,
2199,Star Fox 64 3D,Nintendo 3DS,2011,Shooter,Nintendo,0.48,0.27,0.13,0.07,0.94,64,38,7.8,19
2200,The SpongeBob SquarePants Movie,Game Cube,2004,Platform,THQ,0.73,0.19,0,0.03,0.94,78,37,7,49
2201,Rocksmith 2014,Xbox 360,2013,Misc,Ubisoft,0.69,0.17,0,0.08,0.94,83,26,6.7,37
2202,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,PlayStation,1996,Misc,GT Interactive,0.52,0.36,0,0.06,0.94,83,61,7.6,162
2203,Cars,Wii,2006,Racing,THQ,0.83,0.04,0,0.07,0.94,47,15,4.5,21
2204,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0,0.13,0.94,,,,
2205,Castlevania: Lament of Innocence,PlayStation 2,2003,Action,Konami Digital Entertainment,0.46,0.36,0,0.12,0.94,87,69,9.1,293
2206,Mario Tennis Open,Nintendo 3DS,2012,Sports,Nintendo,0.26,0.29,0.33,0.05,0.94,,,,
2207,The Witcher 2: Assassins of Kings,Xbox 360,2012,Action,Namco Bandai Games,0.48,0.36,0.02,0.08,0.94,92,41,7.8,72
2208,Bayonetta,Xbox 360,2009,Action,Sega,0.51,0.26,0.09,0.08,0.94,,,,
2209,Destroy All Humans!,PlayStation 2,2005,Shooter,THQ,0.78,0.03,0,0.13,0.94,83,30,8.9,31
2210,MVP Baseball 2005,Xbox,2005,Sports,Electronic Arts,0.7,0.2,0,0.03,0.94,79,20,6.8,18
2211,SaGa Frontier 2,PlayStation,1999,Role-Playing,SquareSoft,0.1,0.07,0.71,0.06,0.94,77,32,7.9,187
2212,NCAA Football 10,Xbox 360,2009,Sports,Electronic Arts,0.87,0,0,0.07,0.94,79,38,6.2,157
2213,MLB 2000,PlayStation,1999,Sports,Sony Computer Entertainment,0.52,0.35,0,0.06,0.94,70,13,6.1,24
2214,The Legend of Zelda: Twilight Princess HD,Wii U,2016,Action,Nintendo,0.48,0.3,0.08,0.08,0.94,,,,
2215,Bully,PlayStation 2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,90,25,8.5,21
2216,Prince of Persia: The Sands of Time,Xbox,2003,Action,Ubisoft,0.57,0.33,0,0.04,0.94,85,28,6.9,703
2217,Phantasy Star Portable,PlayStation Portable,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94,64,77,7.5,213
2218,Hot Shots Golf Fore!,PlayStation 2,2003,Sports,Sony Computer Entertainment,0.46,0.36,0,0.12,0.94,70,26,5.5,4
2219,MLB 06: The Show,PlayStation 2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0,0.13,0.94,,,,
2220,NHL 2003,PlayStation 2,2002,Sports,Electronic Arts,0.46,0.36,0,0.12,0.93,,,,
2221,Operation Flashpoint: Dragon Rising,Xbox 360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,81,71,8.7,87
2222,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.78,0.09,0,0.06,0.93,,,,
2223,Buzz! Quiz World,PlayStation 3,2009,Misc,Sony Computer Entertainment,0.16,0.58,0,0.2,0.93,,,,
2224,Bentley's Hackpack,Game Boy Advance,2005,Misc,N/A,0.67,0.25,0,0.02,0.93,,,,
2225,Tony Hawk's Pro Skater 4,Xbox,2002,Sports,Activision,0.59,0.3,0,0.04,0.93,85,20,8.6,17
2226,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0,0.11,0.93,71,16,8.8,8
2227,EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11,0.93,90,86,8,597
2228,White Knight Chronicles: International Edition,PlayStation 3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,83,25,8.6,19
2229,SSX,PlayStation 3,2012,Sports,Electronic Arts,0.35,0.42,0.02,0.14,0.93,71,21,7,5
2230,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.5,0.32,0.02,0.1,0.93,61,11,4.8,5
2231,LEGO Jurassic World,PlayStation 3,2015,Action,Warner Bros. Interactive Entertainment,0.34,0.44,0,0.15,0.93,66,58,7,76
2232,Build-A-Bear Workshop,Nintendo DS,2007,Simulation,Game Factory,0.85,0.01,0,0.07,0.93,77,47,7.8,112
2233,Crash City Mayhem,Game Boy Advance,2004,Racing,THQ,0.67,0.25,0,0.02,0.93,,,,
2234,Spider-Man,2600,1981,Action,Parker Bros.,0.87,0.05,0,0.01,0.93,73,43,7.1,75
2235,Mega Man 4,NES,1991,Platform,Capcom,0.51,0.09,0.32,0.01,0.93,39,5,5.6,8
2236,Castlevania II: Simon's Quest,NES,1987,Platform,Konami Digital Entertainment,0.45,0.06,0.42,0,0.93,66,8,tbd,
2237,Toy Story 2: Buzz Lightyear to the Rescue!,Nintendo 64,1999,Platform,Activision,0.71,0.2,0,0.01,0.93,76,48,8,70
2238,Teenage Mutant Ninja Turtles,Game Boy Advance,2003,Action,Unknown,0.67,0.25,0,0.02,0.93,80,5,6.8,12
2239,MLB 07: The Show,PlayStation 2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0,0.13,0.93,80,21,6.2,1489
2240,Skylanders: Trap Team,Xbox 360,2014,Action,Activision,0.54,0.31,0,0.08,0.93,89,38,8.2,2482
2241,Cars,Game Cube,2006,Racing,THQ,0.72,0.19,0,0.03,0.93,59,29,8.7,31
2242,Brothers in Arms: Hell's Highway,PlayStation 3,2008,Shooter,Ubisoft,0.44,0.34,0,0.15,0.93,71,27,7.5,21
2243,Inazuma Eleven 3,Nintendo DS,2010,Role-Playing,Level 5,0,0,0.93,0,0.93,63,17,3.3,9
2244,Pokken Tournament,Wii U,2016,Fighting,Namco Bandai Games,0.47,0.22,0.16,0.07,0.93,86,29,7.1,70
2245,SnoCross Championship Racing,PlayStation,1999,Racing,Ubisoft,0.52,0.35,0,0.06,0.93,61,11,6.7,44
2246,Teenage Mutant Ninja Turtles,PlayStation 2,2003,Action,Konami Digital Entertainment,0.45,0.35,0,0.12,0.92,65,13,tbd,
2247,Top Gun: Combat Zones,PlayStation 2,2001,Simulation,Titus,0.45,0.35,0,0.12,0.92,,,tbd,
2248,Blue Dragon,Xbox 360,2006,Role-Playing,Microsoft Game Studios,0.3,0.33,0.21,0.08,0.92,81,53,9.2,203
2249,007: The World is not Enough,PlayStation,2000,Action,Electronic Arts,0.51,0.35,0,0.06,0.92,80,44,7.8,190
2250,NCAA Football 11,Xbox 360,2010,Sports,Electronic Arts,0.86,0,0,0.06,0.92,85,31,8.5,575
2251,NHL 98,PlayStation,1997,Sports,Electronic Arts,0.51,0.35,0,0.06,0.92,82,33,8.4,363
2252,FIFA Street,Xbox 360,2012,Sports,Electronic Arts,0.17,0.65,0,0.1,0.92,,,,
2253,EA Sports Active 2,PlayStation 3,2010,Sports,Electronic Arts,0.52,0.28,0,0.12,0.92,,,,
2254,SpongeBob SquarePants: The Yellow Avenger,PlayStation Portable,2006,Action,THQ,0.55,0.21,0,0.16,0.92,,,,
2255,WWE SmackDown vs. Raw 2009,Xbox 360,2008,Fighting,THQ,0.58,0.26,0,0.08,0.92,,,,
2256,Dante's Inferno,Xbox 360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,87,23,7.5,75
2257,Wipeout: In The Zone,Xbox 360,2011,Misc,Activision,0.87,0,0,0.05,0.92,48,9,6.4,13
2258,Space Jam,PlayStation,1996,Sports,Acclaim Entertainment,0.51,0.35,0,0.06,0.92,73,71,7.7,224
2259,Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0,0.09,0.92,60,34,6.1,16
2260,Knockout Kings 2000,Nintendo 64,1999,Fighting,Electronic Arts,0.63,0.27,0,0.02,0.92,79,47,7.1,34
2261,Balloon Fight,NES,1985,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,59,32,8,46
2262,Assassin's Creed,PC,2008,Adventure,Ubisoft,0.01,0.83,0,0.08,0.92,,,,
2263,Disney Magical World,Nintendo 3DS,2013,Adventure,Nintendo,0.16,0.2,0.53,0.03,0.92,,,,
2264,Crysis 3,Xbox 360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.92,79,56,7.8,161
2265,Lego Batman 3: Beyond Gotham,PlayStation 4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.39,0,0.15,0.92,,,,
2266,Dynasty Warriors 7,PlayStation 3,2011,Action,Tecmo Koei,0.25,0.14,0.46,0.06,0.92,74,21,8.2,62
2267,The Evil Within,PlayStation 3,2014,Action,Bethesda Softworks,0.26,0.39,0.12,0.14,0.92,70,20,6.7,7
2268,MLB 12: The Show,PlayStation 3,2012,Sports,Sony Computer Entertainment,0.86,0,0,0.06,0.92,,,,
2269,Sonic Riders,Game Cube,2006,Racing,Sega,0.71,0.18,0,0.03,0.92,,,,
2270,Starsky & Hutch,PlayStation 2,2003,Racing,Empire Interactive,0.45,0.35,0,0.12,0.92,78,20,5.4,14
2271,Tobal No.1,PlayStation,1996,Fighting,Sony Computer Entertainment,0.12,0.08,0.66,0.06,0.92,,,tbd,
2272,Lost Odyssey,Xbox 360,2007,Role-Playing,Microsoft Game Studios,0.45,0.27,0.11,0.09,0.92,76,23,8.1,12
2273,MLB 15: The Show,PlayStation 4,2015,Sports,Sony Computer Entertainment,0.67,0.08,0,0.17,0.92,,,,
2274,Operation Flashpoint: Dragon Rising,PlayStation 3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.92,77,63,7.2,53
2275,Homefront,PlayStation 3,2011,Shooter,THQ,0.32,0.4,0.04,0.15,0.91,76,27,8.3,48
2276,AMF Bowling Pinbusters!,Wii,2007,Sports,Bethesda Softworks,0.85,0,0,0.07,0.91,63,15,8.9,23
2277,Street Hoops,PlayStation 2,2002,Sports,Activision,0.45,0.35,0,0.12,0.91,92,59,8.9,950
2278,Avatar: The Game,PlayStation 3,2009,Action,Ubisoft,0.32,0.43,0,0.16,0.91,,,,
2279,Harvest Moon 3D: A New Beginning,Nintendo 3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.29,0.05,0.91,,,,
2280,Tom Clancy's EndWar,Xbox 360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,90,13,8.7,31
2281,Knockout Kings 2002,PlayStation 2,2002,Sports,Electronic Arts,0.45,0.35,0,0.12,0.91,57,25,7.4,57
2282,Tokyo Xtreme Racer 3,PlayStation 2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91,86,15,5.7,183
2283,LEGO Indiana Jones 2: The Adventure Continues,PlayStation 3,2009,Action,Activision,0.47,0.3,0,0.13,0.91,59,7,tbd,
2284,Colin McRae Rally 2.0,PlayStation,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,81,38,6.8,110
2285,Glover,Nintendo 64,1998,Platform,Hasbro Interactive,0.72,0.17,0,0.01,0.91,56,26,8.1,57
2286,MX vs. ATV Reflex,PlayStation 3,2009,Racing,THQ,0.52,0.26,0,0.12,0.91,,,,
2287,Minecraft: Story Mode,Xbox 360,2015,Adventure,Mojang,0.46,0.38,0,0.08,0.91,,,,
2288,Namco Museum,Xbox,N/A,Misc,Unknown,0.77,0.11,0,0.04,0.91,75,20,7.9,12
2289,Marvel: Ultimate Alliance 2,Xbox 360,2009,Role-Playing,Activision,0.68,0.15,0,0.08,0.91,76,42,6.5,53
2290,Call of Duty: World at War,Nintendo DS,2008,Shooter,Activision,0.57,0.26,0,0.08,0.91,80,23,7.6,5
2291,Super Momotarou Dentetsu III,Super NES,1994,Simulation,Hudson Soft,0,0,0.91,0,0.91,78,68,8.3,432
2292,Sonic Mega Collection Plus,Xbox,2004,Misc,Sega,0.61,0.26,0,0.04,0.91,77,80,3.4,1221
2293,DJ Hero,PlayStation 3,2009,Misc,Activision,0.42,0.34,0,0.14,0.91,71,24,7,186
2294,Dragon Age: Inquisition,Xbox One,2014,Role-Playing,Electronic Arts,0.55,0.28,0,0.07,0.91,,,,
2295,The Simpsons Game,PlayStation 3,2007,Action,Electronic Arts,0.38,0.37,0,0.15,0.91,78,36,7.6,9
2296,Tiger Woods PGA Tour 2002,PlayStation 2,2002,Sports,Electronic Arts,0.44,0.35,0,0.12,0.9,73,75,7.3,82
2297,Rhythm Heaven,Wii,N/A,Misc,Unknown,0.13,0,0.77,0.01,0.9,90,52,8.8,114
2298,Mini-Yonku Shining Scorpion: Let's & Go!!,Super NES,1996,Racing,ASCII Entertainment,0,0,0.9,0,0.9,76,45,6.7,344
2299,MLB 2005,PlayStation 2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0,0.12,0.9,,,7,109
2300,SOCOM 4: U.S. Navy SEALs,PlayStation 3,2011,Shooter,Sony Computer Entertainment,0.66,0.12,0.04,0.08,0.9,88,82,8.3,818
2301,Burnout Revenge,PlayStation 2,2005,Racing,Electronic Arts,0.75,0.03,0,0.12,0.9,70,60,5.7,174
2302,Buzz! Quiz TV,PlayStation 3,2008,Misc,Sony Computer Entertainment,0.28,0.48,0,0.14,0.9,,,,
2303,We Ski & Snowboard,Wii,2008,Sports,Atari,0.38,0.29,0.15,0.08,0.9,70,46,7,80
2304,Destruction Derby,PlayStation,1995,Racing,Psygnosis,0.5,0.34,0,0.06,0.9,,,,
2305,TouchMaster 2,Nintendo DS,2008,Puzzle,Midway Games,0.3,0.49,0,0.1,0.9,71,64,5.7,2421
2306,Crysis 3,PlayStation 3,2013,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9,,,,
2307,3Xtreme,PlayStation,1999,Action,989 Studios,0.5,0.34,0,0.06,0.9,70,44,8.1,8
2308,Hot Shots Tennis,PlayStation 2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,74,44,7.4,10
2309,Sonic Heroes,Xbox,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,74,13,5.2,118
2310,Resistance: Retribution,PlayStation Portable,2009,Shooter,Sony Computer Entertainment,0.27,0.36,0.05,0.22,0.9,73,28,7.6,34
2311,Tiger Woods PGA Tour 12: The Masters,PlayStation 3,2011,Sports,Electronic Arts,0.52,0.26,0,0.12,0.9,,,,
2312,Star Wars: The Force Unleashed,Nintendo DS,2008,Action,LucasArts,0.51,0.29,0,0.09,0.9,50,14,6.5,28
2313,Madden NFL 99,Nintendo 64,1998,Sports,Electronic Arts,0.84,0.05,0,0.01,0.9,71,16,7.5,15
2314,Spider-Man 3,PlayStation 2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9,69,5,tbd,
2315,James Bond 007: Agent Under Fire,Xbox,2002,Shooter,Electronic Arts,0.65,0.22,0,0.03,0.9,61,4,5.2,11
2316,Samba De Amigo,Wii,2008,Misc,Sega,0.42,0.37,0.01,0.1,0.9,86,53,7.8,49
2317,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.48,0,0.09,0.9,,,tbd,
2318,Pure,PlayStation 3,2008,Racing,Disney Interactive Studios,0.42,0.33,0,0.14,0.9,82,63,8.5,14
2319,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.29,0.52,0,0.09,0.9,85,28,7.6,14
2320,Fossil Fighters,Nintendo DS,2008,Role-Playing,Nintendo,0.84,0,0,0.06,0.9,68,21,6.6,27
2321,LittleBigPlanet Karting,PlayStation 3,2012,Action,Sony Computer Entertainment,0.42,0.32,0.01,0.15,0.9,,,7.2,21
2322,X-Men Legends,Xbox,2004,Role-Playing,Activision,0.62,0.24,0,0.04,0.9,71,6,tbd,
2323,NBA Live 2005,Xbox,2004,Sports,Electronic Arts,0.81,0.05,0,0.04,0.9,76,25,8,20
2324,Harry Potter: Quidditch World Cup,PlayStation 2,2003,Sports,Electronic Arts,0.44,0.34,0,0.11,0.9,68,11,tbd,
2325,The Biggest Loser: Ultimate Workout,Xbox 360,2010,Sports,THQ,0.73,0.1,0,0.06,0.9,91,22,8.5,59
2326,Madagascar,Game Boy Advance,2005,Platform,Activision,0.62,0.24,0,0.03,0.89,67,64,6.3,121
2327,Call of Juarez: Bound in Blood,PlayStation 3,2009,Shooter,Ubisoft,0.35,0.38,0.01,0.16,0.89,83,29,6.2,16
2328,Killzone: Liberation,PlayStation Portable,2006,Shooter,Sony Computer Entertainment,0.44,0.28,0,0.18,0.89,77,47,6.7,58
2329,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.82,0.01,0,0.07,0.89,84,16,8.6,58
2330,Blitz: The League,PlayStation 2,2005,Sports,Unknown,0.74,0.03,0,0.12,0.89,85,38,9.1,132
2331,LEGO Jurassic World,PlayStation 4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.01,0.14,0.89,,,,
2332,Castlevania: Circle of the Moon,Game Boy Advance,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,76,8,tbd,
2333,Sonic Chronicles: The Dark Brotherhood,Nintendo DS,2008,Role-Playing,Sega,0.51,0.29,0.01,0.09,0.89,,,,
2334,Tiger Woods PGA Tour 06,PlayStation 2,2005,Sports,Electronic Arts,0.74,0.03,0,0.12,0.89,,,,
2335,Classic NES Series: The Legend of Zelda,Game Boy Advance,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,77,56,8.3,80
2336,The Jak and Daxter Collection,PlayStation 3,2012,Platform,Sony Computer Entertainment,0.6,0.19,0,0.1,0.89,62,11,5.5,8
2337,Fire Emblem: The Sacred Stones,Game Boy Advance,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,,,6.8,14
2338,Pokemon Card GB2: Here Comes Team GR!,Game Boy,2001,Strategy,Nintendo,0,0,0.89,0,0.89,83,10,8.2,22
2339,Finding Nemo,Game Cube,2003,Action,THQ,0.69,0.18,0,0.02,0.89,85,16,7.5,6
2340,CSI: Hard Evidence,Wii,2008,Adventure,Ubisoft,0.36,0.43,0,0.1,0.89,83,43,7.8,30
2341,Ace Combat 2,PlayStation,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,,,,
2342,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.63,0,0.11,0.89,81,67,8.1,84
2343,NFL 2K2,PlayStation 2,2001,Sports,Sega,0.44,0.34,0,0.11,0.89,75,12,7.8,20
2344,EA Sports UFC 2,PlayStation 4,2016,Sports,Electronic Arts,0.28,0.47,0,0.14,0.89,80,41,7.3,17
2345,Dissidia 012: Duodecim Final Fantasy,PlayStation Portable,2011,Fighting,Square Enix,0.21,0.13,0.46,0.08,0.89,,,,
2346,LEGO Marvel Super Heroes,Nintendo 3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.89,,,,
2347,F1 2010,Xbox 360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.89,,,,
2348,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.81,0,0.01,0.07,0.89,80,18,8.4,22
2349,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0,0.09,0.89,,,,
2350,Wii Fit U,Wii U,2013,Sports,Nintendo,0.39,0.24,0.21,0.06,0.89,70,25,7.1,16
2351,Kingdoms of Amalur: Reckoning,Xbox 360,2012,Role-Playing,Electronic Arts,0.55,0.25,0.01,0.07,0.89,,,,
2352,Call of Duty: Modern Warfare 3,Wii,2011,Shooter,Activision,0.6,0.21,0,0.08,0.89,70,17,7.9,15
2353,MLB 2001,PlayStation,2000,Sports,Sony Computer Entertainment,0.49,0.34,0,0.06,0.89,,,,
2354,SingStar Anthems,PlayStation 2,2006,Misc,Sony Computer Entertainment,0,0.68,0,0.2,0.89,79,9,4.1,34
2355,Seiken Densetsu 3,Super NES,1995,Role-Playing,SquareSoft,0,0,0.89,0,0.89,68,43,8.1,40
2356,Mega Man 8 Anniversary Collector's Edition,PlayStation,1996,Platform,Capcom,0.44,0.3,0.09,0.06,0.88,,,,
2357,WWE SmackDown vs. Raw 2011,Xbox 360,2010,Fighting,THQ,0.44,0.36,0,0.08,0.88,71,30,7.5,49
2358,Sleeping Dogs,Xbox 360,2012,Action,Square Enix,0.38,0.41,0.01,0.08,0.88,86,40,4.2,6430
2359,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0,0.08,0.88,78,37,8.1,60
2360,Peppa Pig: The Game,Nintendo DS,2008,Misc,Pinnacle,0,0.82,0,0.06,0.88,84,43,7.5,65
2361,Michael Jackson: The Experience,Xbox 360,2011,Misc,Ubisoft,0.62,0.2,0,0.07,0.88,78,47,7.8,91
2362,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.6,0.21,0,0.08,0.88,,,,
2363,Rock Band 3,Xbox 360,2010,Misc,MTV Games,0.73,0.1,0,0.06,0.88,,,,
2364,Resident Evil: Revelations,Nintendo 3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,84,23,8.3,13
2365,NBA 2K6,PlayStation 2,2005,Action,Take-Two Interactive,0.43,0.34,0,0.11,0.88,78,52,8.3,144
